subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1558,63122,2,10,22,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,6568,381
1558,63123,2,11,23,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,4327,348
1558,63124,2,12,24,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,4314,402
1558,63125,3,1,25,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,3322,355
1558,63126,3,2,26,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,3609,382
1558,63127,3,3,27,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,3811,367
1558,63128,3,4,28,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,10687,375
1558,63129,3,5,29,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,2428,394
1558,63130,3,6,30,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,4974,397
1558,63131,3,7,31,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,4638,368
1558,63132,3,8,32,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,6295,390
1558,63133,3,9,33,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,3608,373
1558,63134,3,10,34,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,1940,370
1558,63135,3,11,35,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,1866,356
1558,63136,3,12,36,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,4196,342
1558,63101,1,1,1,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,4314,1124
1558,63102,1,2,2,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,3607,384
1558,63103,1,3,3,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,2106,362
1558,63104,1,4,4,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,3864,361
1558,63105,1,5,5,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,3664,356
1558,63106,1,6,6,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,8009,350
1558,63107,1,7,7,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,3671,369
1558,63108,1,8,8,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,2687,367
1558,63109,1,9,9,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,1995,379
1558,63110,1,10,10,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,2636,346
1558,63111,1,11,11,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,6400,355
