participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp,correct,reactionTime,ciede2000_discriminative,contrast_sensitivity,hue_discriminative,luminance_variation,chromatic_variation,LAB_Length,color_name_variation,categorization,log_categorization,logLAB_Length,log_hue_discriminative,log_luminance_variation,log_chromatic_variation,log_color_name_variation
6992cbc78e1063a80a315c40,9001,medium,0.8,0.8285879121619191,7.5,0,47,300,thermal,thermal,3,3,1,2289,2026-02-22T07:10:06.342Z,1,2289,37.459881391131205,199.8038177415943,300.9348368877921,143.61039971295912,226.50516918094922,360.90480778591524,3.839889267902964,150.70052526257686,5.021908348857239,5.891381215327862,5.707225995220591,4.974043227698388,5.427172959807374,1.348044386302425
6992cbc78e1063a80a315c40,48,high,0.956,0.9559114577939426,0.5,1,3,100,thermal,constant,0,0,1,1506,2026-02-22T07:10:07.878Z,1,1506,18.199582813426808,102.62058557188318,116.36024572184083,23.52721783354393,250.42525048066886,264.4418372666389,3.612927585936114,78.61462816750283,4.377197846915053,5.581395748007386,4.757549976331536,3.199783432903778,5.527145730574132,1.2872824243922176
6992cbc78e1063a80a315c40,34,high,0.956,0.9566332028063327,0.28125,1,15,100,thermal,thermal,3,3,1,1500,2026-02-22T07:10:09.406Z,1,1500,21.787120120344838,157.7368536546737,123.62153321129941,138.88136154595372,238.41189737500133,287.91707554462005,4.6837529090298125,121.41446346952533,4.807412528697919,5.666139711106705,4.8180333403306035,4.940794645819191,5.478185488526468,1.5462324562967869
6992cbc78e1063a80a315c40,36,high,0.956,0.9559624574532696,1.125,1,34,300,diverging,constant,0,0,1,3917,2026-02-22T07:10:13.356Z,1,3917,35.732347824310246,158.8317556339141,299.95533384807493,20.867094584207436,135.25067369596553,305.59367151352336,4.942906713055899,232.14792492172444,5.45167312302911,5.7255233253686,5.703966903808349,3.0849829764901857,4.914496378088675,1.5999746189962447
6992cbc78e1063a80a315c40,13,low,0.954,0.9543407585865754,6,1,17,200,linear,constant,1,1,1,9547,2026-02-22T07:10:22.910Z,1,9547,31.75191347562168,116.6442795167885,200.5962589482392,19.398446213299906,72.39335088318684,193.82418621121417,3.2399138888287324,108.2690054279091,4.693812781572795,5.272097542696464,5.301792615609827,3.015458731934682,4.295833344094659,1.1786285002456223
6992cbc78e1063a80a315c40,16,low,0.954,0.9537255104790813,0.7265625,1,12,100,constant,thermal,2,2,1,4961,2026-02-22T07:10:27.896Z,1,4961,24.867303627035785,231.3576636720933,192.32315246214824,277.4787849650425,43.54205812664932,277.4598454334222,4.711114250382047,29.616773748087304,3.4215480204747903,5.629273867404573,5.259696866034276,5.629341880397725,3.7964338692629735,1.5520448417335233
6992cbc78e1063a80a315c40,37,high,0.956,0.9555796121171295,1.0625,1,22,200,diverging,linear,0,0,1,1515,2026-02-22T07:10:29.438Z,1,1515,31.599458726245334,162.6024310734111,204.95888747332756,52.73948472377908,132.48735180299894,233.62320003422536,2.7728614141192214,142.37406414745394,4.965457048121895,5.457980823206389,5.323297193855764,3.984148014823161,4.894006730303201,1.0234796840056672
6992cbc78e1063a80a315c40,47,high,0.956,0.956397608370685,0.25,1,7,100,thermal,linear,1,1,1,5856,2026-02-22T07:10:35.320Z,1,5856,22.072426976070467,134.42597654341282,109.16202855394599,47.796717645455765,223.048560254293,239.84090102133817,3.295928434808732,100.51192891901722,4.620176317871904,5.484136553750759,4.693748929095293,3.887663049233343,5.411862815209688,1.1957173521012319
6992cbc78e1063a80a315c40,44,high,0.956,0.9555228466067766,0.78125,1,41,300,linear,diverging,3,3,1,1743,2026-02-22T07:10:37.086Z,1,1743,40.352213699026045,208.34887723823422,299.9851592028541,103.76714239927611,75.52429916444308,309.0091480530216,5.083933940001059,213.75145484049887,5.369481335418827,5.736601806892241,5.70406629838395,4.651740196002698,4.337608326533323,1.6280504082755054
6992cbc78e1063a80a315c40,30,medium,0.982,0.9815751681333057,0.125,1,9,100,linear,diverging,0,0,1,5816,2026-02-22T07:10:42.930Z,1,5816,23.586200888559,129.73871008379044,104.59155220439969,63.69534192297375,87.22355851147695,151.02284968798196,2.641182423701177,89.32502916820073,4.503414599958653,5.02403083644294,4.651018428894381,4.169689203906956,4.479874030651736,0.9750057381046586
